iter	Passed	Remaining
794	1644	424
795	1647	422
796	1650	420
797	1652	418
798	1654	416
799	1657	414
800	1660	412
801	1663	410
802	1665	408
803	1666	406
804	1668	404
805	1669	401
806	1671	399
807	1674	397
808	1677	396
809	1679	393
810	1680	391
811	1681	389
812	1682	387
813	1684	384
814	1685	382
815	1686	380
816	1689	378
817	1692	376
818	1694	374
819	1697	372
820	1698	370
821	1701	368
822	1704	366
823	1706	364
824	1708	362
825	1708	360
826	1710	357
827	1711	355
828	1712	353
829	1713	351
830	1715	348
831	1716	346
832	1717	344
833	1719	342
834	1722	340
835	1724	338
836	1726	336
837	1727	334
838	1730	332
839	1732	330
840	1735	328
841	1736	325
842	1739	323
843	1742	322
844	1743	319
845	1745	317
846	1747	315
847	1749	313
848	1752	311
849	1753	309
850	1755	307
851	1757	305
852	1758	303
853	1760	300
854	1761	298
855	1764	296
856	1768	295
857	1769	292
858	1771	290
859	1774	288
860	1777	286
861	1779	284
862	1783	283
863	1786	281
864	1788	279
865	1789	276
866	1792	274
867	1794	272
868	1797	270
869	1799	268
870	1802	266
871	1803	264
872	1807	262
873	1809	260
874	1813	259
875	1817	257
876	1820	255
877	1823	253
878	1825	251
879	1828	249
880	1832	247
881	1835	245
882	1839	243
883	1844	241
884	1847	240
885	1850	238
886	1853	236
887	1856	234
888	1859	232
889	1864	230
890	1867	228
891	1871	226
892	1875	224
893	1878	222
894	1880	220
895	1881	218
896	1883	216
897	1894	215
898	1896	213
899	1898	210
900	1899	208
901	1901	206
902	1904	204
903	1905	202
904	1907	200
905	1908	198
906	1910	195
907	1911	193
908	1913	191
909	1915	189
910	1917	187
911	1919	185
912	1920	183
913	1921	180
914	1923	178
915	1924	176
916	1926	174
917	1928	172
918	1930	170
919	1932	168
920	1934	165
921	1935	163
922	1937	161
923	1939	159
924	1940	157
925	1941	155
926	1942	152
927	1944	150
928	1945	148
929	1946	146
930	1947	144
931	1949	142
932	1950	140
933	1951	137
934	1953	135
935	1955	133
936	1958	131
937	1961	129
938	1964	127
939	1966	125
940	1968	123
941	1971	121
942	1973	119
943	1975	117
944	1979	115
945	1981	113
946	1983	111
947	1986	108
948	1988	106
949	1991	104
950	1994	102
951	1996	100
952	1998	98
953	2000	96
954	2003	94
955	2005	92
956	2008	90
957	2009	88
958	2012	86
959	2013	83
960	2015	81
961	2018	79
962	2021	77
963	2025	75
964	2027	73
965	2029	71
966	2032	69
967	2035	67
968	2039	65
969	2041	63
970	2044	61
971	2047	58
972	2049	56
973	2051	54
974	2053	52
975	2056	50
976	2058	48
977	2060	46
978	2061	44
979	2064	42
980	2065	40
981	2068	37
982	2071	35
983	2074	33
984	2075	31
985	2079	29
986	2081	27
987	2084	25
988	2088	23
989	2089	21
990	2093	19
991	2094	16
992	2097	14
993	2099	12
994	2103	10
995	2106	8
996	2108	6
997	2111	4
998	2114	2
999	2118	0
